log_teff,log_lum
3.5225632052263576,-1.7012080716577314
3.542946811595703,-1.386028226136854
3.5060443716031866,-2.144549100361742
3.640923282390357,-0.9339079532213395
3.5766847256464427,-0.9928626973914836
3.603991987872809,-1.0472636974089202
3.500474204078404,-2.1736356897639815
3.7564218063879298,-0.06857309245775971
3.5023718013706877,-2.1125739673088675
3.8611140295633284,0.8201299685407731
3.5275645166889515,-1.6296946332236273
3.6544995395997155,-0.788021035472446
3.5424733229139216,-1.4430745445231432
3.5203797943164186,-1.8380603848060062
3.5203177889406114,-1.8034944451425785
3.4904050810046243,-2.2806940823890476
4.012540819054324,1.8556839904902254
3.52531909794132,-1.620620766943346
3.5104522577172315,-1.948274679715552
3.530238167171633,-1.584695198952857
3.7670879297576376,0.11938993555948907
3.505949263739534,-2.0591878578386495
3.5127956862778627,-1.9986343687629993
3.660691722493842,-1.0673234632629254
3.6699855510970685,-0.6365912776706257
3.490458483313483,-2.15266942516955
3.6662602355151335,-0.5833835817605968
3.6804354214570094,-1.0773389846636523
3.5207261960110783,-1.7750935108563097
3.5258374328622337,-1.5753564037007368
3.5215599505141677,-1.690693353362884
3.78004907988304,0.1769485494670002
3.5009122016246765,-2.1685743244449402
3.7613177253964007,0.043428108194060594
3.530725708368072,-1.6099436232462307
3.51429103491934,-1.5764248814993138
3.850871574170895,1.0007670792798675
3.9927940279445537,1.355050644221419
3.7170605507322674,-0.24239130362118094
3.5222969142846146,-1.848523055827207
4.0293941624502745,1.525159524677669
3.5501742301294232,-1.3684746841138251
3.517534478401784,-1.8165388867081964
3.772471196106186,0.16210604960557026
3.5227672945795736,-1.869165627367008
3.514214038671071,-1.9119029844924196
3.532980929514986,-1.3006452999894451
3.5428919861500683,-1.2112059312828618
3.5637040075832287,-1.1051504032000472
3.51347875599004,-2.010860034391661
3.7636094113765086,0.0737515757361235
3.5204596395924788,-1.8612074826506306
4.036542894269864,1.8300852780251111
3.4865937292549183,-2.388697637867906
3.5716733831579757,-1.1319486069784186
3.7719593019996376,0.26027397494915705
3.5158362470717974,-1.9193061817562607
3.8073787641896764,0.39066581629574504
3.510574101736995,-1.9670628413710076
3.799549594908574,0.4166202963734425
3.76412535963378,-0.030141954687622714
3.5330309921774337,-1.6317572120049229
3.618786349977039,-0.967154918325256
3.5157105996056885,-1.872642465674559
3.8922448115436366,0.9175953708281902
3.500442016400953,-2.1617350895168035
3.623439293056819,-0.9323333896396047
3.5503420728555204,-1.4072693122885707
3.718773832343656,-0.37268961764972103
3.6569800378931374,-0.575332847121247
3.523460856701242,-1.7995053190084773
3.5131451951400696,-1.8686624423376301
3.5203943185478273,-1.7335456633882498
3.560311799455537,-0.9943028772133772
3.984485383197183,1.311667219022801
3.74189520412411,-0.08932048197523164
3.6336364912445593,-0.8883694499321585
3.535707961124808,-1.4890928558246526
3.506242985944705,-2.026483563719519
3.5077133019549196,-2.1234985872587337
3.545521024713566,-1.436929840479367
3.5128352723542897,-1.9579511405537606
3.5153708525982177,-1.6850888103869643
3.516449218865396,-1.860363344819508
3.491695864180249,-2.255974056986439
3.5191447713019546,-1.7842201246821374
3.879330648395114,0.8933834927008499
3.7012067040978414,-0.025551439794672358
3.4961524092923186,-2.0473860268562674
3.508421901294706,-2.036639482852258
3.501092206864806,-2.2553201840115116
3.5213332033502587,-1.797476380298683
3.537066467717796,-1.4301738194205533
3.501224996949164,-2.1067085373957357
3.7578835622480065,-0.002479068578803111
3.5064075144820284,-2.093882105611782
3.540184248939417,-1.4769174764206834
3.7952952262888324,0.5187401651001198
3.5539741486497087,-1.3673630842178894
3.639251703064119,-0.8786833185128922
3.5034208203571553,-2.1441310879038364
3.7284760448986227,-0.315772385314578
3.5147726573176623,-1.9892811341013974
3.506839736799383,-2.0891091177599668
3.703735338835845,-0.5497434483352075
3.648172835553462,-0.84863444410429
3.500663764877276,-2.124437548911829
3.7125420565986818,-0.4947606126601785
3.5445482715431877,-1.439231278785801
3.5089826618309483,-2.080432296597954
3.4819126106475946,-2.3864681248289976
4.004051199444156,1.3322008315598743
3.800308943628776,0.39425615934819636
3.517082699737088,-1.743508182127925
3.856528052594306,0.7958108610978754
3.4905753079578448,-2.1996996424593083
3.5004939978130225,-2.14367223110675
3.482740887669062,-2.388968998947961
3.5168597625574374,-1.8848851998958362
3.745912793424245,-0.17694153891992243
3.501206406775235,-2.18963937857032
3.6374659334287642,-0.5481717307411256
3.5195994429135142,-1.9615258906822637
3.5219800373228636,-1.719525684600262
3.7137417815240283,-0.18608880722645885
3.64449167281519,-0.8043592699328643
3.5382280204839045,-1.4887035178329455
3.500328050838623,-2.1045153852109095
3.6973996369601,-0.6004238740155452
3.5486559833114284,-1.0979998535437436
3.624705300094532,-0.9670878722514663
3.749977813246747,-0.14953146668144693
3.7241647050514013,-0.29220706680612013
3.71895577419419,-0.06001049989166887
3.7838773851526772,0.2977104607926562
3.5209407675984283,-1.797641433471899
3.72808646723885,-0.31899866128859566
3.506531720485904,-2.0624336396899223
3.749322416925444,-0.14020006207944735
3.4957010830173707,-2.2385224353207804
3.4907484138289617,-2.2526319547562546
3.776793231454707,0.31508325058495845
3.5196940755740553,-1.908700347648671
3.5078725659916103,-2.0971328104105056
3.611574401278631,-1.06080408289024
3.695537808338438,-0.5133709417015704
3.495277658993065,-2.261967887015891
3.4905185616302785,-2.2490209363244413
3.5160427136624186,-1.9949799559017602
3.5359115544541355,-1.5019350144501535
3.717353356679493,-0.24545167233104467
3.5282027712521153,-1.6091691936202204
3.5071077237280126,-2.103947934999172
3.5960865146258967,-1.0965505183728825
3.522896515364821,-1.7344649606429283
3.9121995004664045,0.9990503764060337
3.724430084296811,-0.3688545329912595
3.5066356496466216,-1.9804231720057706
3.5115451765000083,-1.996577773121524
3.5108170658874096,-1.9521225245427114
3.6052884968941354,-1.0157727842783517
3.495722280633084,-2.253401492715048
3.5269110152997913,-1.7130607973756757
3.50065613180698,-2.145278066568264
3.52628351395502,-1.5258756652059848
3.508014688473446,-2.1153571051611118
3.7656845952025733,-0.0199943049196371
3.616458179672226,-1.0027488662093198
3.5143628273811145,-1.9116787981981036
3.5684070564150545,-1.2456562188760718
3.750812062476613,-0.2054547241082935
3.5105338181201846,-1.9343255051272121
3.495327720298311,-2.251520977186819
3.6791217244617633,-0.7097281813162932
3.665701888385569,-0.9866024413235572
3.736261853851578,-0.21443775252065883
3.538473614516656,-1.5168109585970935
3.5209083681400357,-1.801779313335978
3.509167659408714,-1.9026014959096085
3.686872741007075,-0.6033280010002698
4.043396474601747,1.7647034360797251
3.7588805998070254,0.04501499542683445
4.060456765096689,2.9276587449087157
3.546334742799756,-1.5017171237122298
3.509611378253506,-2.095191575306408
3.500546944130815,-2.0390638617185535
3.5607724237783565,-1.3356374974563423
3.5359301676442993,-1.5330724098852688
3.655911663395775,-0.7400614845332344
3.7523040805608745,-0.11319493528334275
3.5816133117976254,-1.1734645543780011
3.5533905126327774,-1.277975262236779
3.497673273350941,-2.2280993354648833
3.5538983383725187,-1.297677751998741
3.50186870889398,-2.043482725549488
3.522875776460255,-1.6480989938504116
4.06583403673689,2.2179076523493753
3.477446570964809,-2.20927581682583
3.759179837550133,-0.00822613929468722
3.6068530163633388,-1.0534432869481645
3.5061965140976885,-2.113777937690652
3.4959139941719797,-2.179460164665375
3.50691795248636,-2.015428411232612
3.7761204382088045,0.16801186981845953
3.5256004228495756,-1.617424646072606
3.506363141864576,-1.9823046142785798
3.762655013313587,-0.06502267443096882
3.794963367883399,0.3840748464109171
3.7326934433728,-0.22153208986542575
3.5006661418147558,-2.0809943348832904
3.506924618319642,-1.8961122139887938
3.53612279663183,-1.5675911386637342
3.7409572780636857,0.11481390444139111
4.012641922868804,1.4825780506087525
3.5402345578358214,-1.478963929283323
3.5228931755774595,-1.7205234426669545
3.509315495736246,-2.0353358352574347
3.737545967532782,-0.2663653749545113
3.759160047394655,0.042236697783327164
3.5326173281977122,-1.626162495288335
3.5002365083366764,-2.2052874155312163
3.5150747240716944,-1.9047537806987591
3.5109550895780575,-1.9816436155071842
3.804219487615032,0.4081765708023858
3.500449184310831,-2.1017462514205016
3.501832951735139,-2.1344030289257914
3.5218687170608174,-1.8911786688168624
3.6671109262617274,-0.6758882693481799
3.5110092276190885,-1.9767306428624298
3.5210878767441915,-1.836204632807288
3.5239043386764366,-1.748115668809924
3.500291094383826,-2.1820201272962607
3.599082482230434,-1.0625186982940422
3.500783666822142,-2.122743994017169
3.539916284935499,-1.4893941128194303
