                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                       "r26.4.1"          2.0000000000000000E+000          1.0000000000000000E+000          4.0000000000000000E+000                       "gfortran"                         "15.2.0"            "x86_64-linux-26.3.2"                       "20260610" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                            1880          9.9086730848317766E+008          4.2642295584758436E+000          1.4972070820774560E+001          1.0926977432701854E+002          6.8365587823276400E+001          5.0774792970243485E+000          6.2894058123926433E+000          3.2771010298859898E-001         -7.7842953700107864E-001          9.5314554019749409E-001          1.5234272299012466E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1570939101144817E+052         -8.6318346144689953E+039         -1.0975891032779745E+035         -4.0830357182625259E+031         -8.6317248147283103E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1885          9.9086734473470557E+008          4.2888735216205216E+000          1.5026032508462047E+001          1.0924315228578391E+002          6.8008060011901179E+001          5.0895534058281280E+000          6.3187354630321613E+000          3.2391018447939562E-001         -7.7926862439242173E-001          9.4952038740136657E-001          1.5252398062993102E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1561092131761747E+052         -8.5911342622737076E+039         -1.0823624189643260E+035         -4.0094445979632030E+031         -8.5910259859373649E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1890          9.9086738080515707E+008          4.3137638209494282E+000          1.5080446569597347E+001          1.0921463047818182E+002          6.7652026752500205E+001          5.1017542122062070E+000          6.3482884298657334E+000          3.2009430485537926E-001         -7.8010886619451680E-001          9.4591334224344470E-001          1.5270433288782710E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1551340469811104E+052         -8.5507371658236094E+039         -1.0673361448437294E+035         -3.9369278280766580E+031         -8.5506303928398466E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1895          9.9086741669543684E+008          4.3389016264321416E+000          1.5135313050367825E+001          1.0918422935382172E+002          6.7297493017965905E+001          5.1140813027848644E+000          6.3780652045701869E+000          3.1625730825250137E-001         -7.8095005864000266E-001          9.4232431427609420E-001          1.5288378428619460E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1541683067495618E+052         -8.5106402200790260E+039         -1.0525081461993015E+035         -3.8654787603888403E+031         -8.5105349306096184E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1900          9.9086745240644455E+008          4.3642881202643693E+000          1.5190632013064448E+001          1.0915196927349149E+002          6.6944463522320547E+001          5.1265342724845508E+000          6.4080662830935289E+000          3.1239369268508288E-001         -7.8179212018006228E-001          9.3875321350344454E-001          1.5306233932482709E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1532118890282601E+052         -8.4708403632030025E+039         -1.0378762946899170E+035         -3.7950904379754161E+031         -8.4707365376226290E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1905          9.9086748793907583E+008          4.3899244967005302E+000          1.5246403535613243E+001          1.0911787050795979E+002          6.6592942725348337E+001          5.1391127243127741E+000          6.4382921655004939E+000          3.0851776687210736E-001         -7.8263508626755018E-001          9.3519995037915016E-001          1.5324000248104179E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1522646916706487E+052         -8.4313345758113606E+039         -1.0234384689229389E+035         -3.7257556109752521E+031         -8.4312321947069128E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1910          9.9086752329422164E+008          4.4158119618881413E+000          1.5302627711114216E+001          1.0908195323681727E+002          6.6242934837168562E+001          5.1518162691611673E+000          6.4687433558196306E+000          3.0461588066756290E-001         -7.8347872790584105E-001          9.3166443580416236E-001          1.5341677820979118E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1513266138174878E+052         -8.3921198802380785E+039         -1.0091925550034607E+035         -3.6574667519804955E+031         -8.3920189244079107E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1915          9.9086755847276855E+008          4.4419517337042391E+000          1.5359304647388234E+001          1.0904423754735411E+002          6.5894443822746666E+001          5.1646445256067519E+000          6.4994203618922972E+000          3.0068924823942850E-001         -7.8432303537539250E-001          9.2814658112447856E-001          1.5359267094377540E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1503975558777925E+052         -8.3531933398150075E+039         -9.9513644706080873E+034         -3.5902160710451515E+031         -8.3530937902681403E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1920          9.9086759347559845E+008          4.4683450415932846E+000          1.5416434466530726E+001          1.0900474343347645E+002          6.5547473406349440E+001          5.1775971197171007E+000          6.5303236952229646E+000          2.9673961073730992E-001         -7.8516788068705035E-001          9.2464629812891541E-001          1.5376768509355359E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1494774195101071E+052         -8.3145520581665925E+039         -9.8126804775265458E+034         -3.5239955303118053E+031         -8.3144538961218616E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1925          9.9086762830358934E+008          4.4949931264064817E+000          1.5474017304471948E+001          1.0896349079465858E+002          6.5202027075944628E+001          5.1906736848592825E+000          6.5614538708307659E+000          2.9277460994565768E-001         -7.8601308180142881E-001          9.2116349904691752E-001          1.5394182504765344E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1485661076041135E+052         -8.2761931785188506E+039         -9.6758526874776051E+034         -3.4587968582605543E+031         -8.2760963854040073E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
