#options: 2126x1196 fps=16/1 timebase=1/16 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=37 lookahead_threads=9 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=16 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=810 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:39.44 aq:34.83 tex:166030 mv:14716 misc:4206 imb:736 pmb:1334 smb:7905 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:39.58 aq:41.11 tex:46310 mv:11538 misc:3344 imb:134 pmb:1143 smb:8698 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:39.65 aq:43.58 tex:25073 mv:6758 misc:2625 imb:58 pmb:763 smb:9154 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:39.51 aq:42.58 tex:25757 mv:7320 misc:2803 imb:74 pmb:831 smb:9070 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:47.44 aq:42.38 tex:40702 mv:10648 misc:3570 imb:449 pmb:962 smb:8564 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:43.44 aq:44.18 tex:17352 mv:8963 misc:3029 imb:96 pmb:928 smb:8951 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:41.44 aq:45.34 tex:19522 mv:7484 misc:2778 imb:88 pmb:772 smb:9115 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:45.44 aq:46.25 tex:6297 mv:4165 misc:2130 imb:53 pmb:456 smb:9466 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:55.44 aq:46.49 tex:20488 mv:7422 misc:3074 imb:410 pmb:635 smb:8930 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:51.44 aq:49.10 tex:8111 mv:5299 misc:2614 imb:50 pmb:668 smb:9257 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:49.44 aq:46.69 tex:7328 mv:4445 misc:2075 imb:63 pmb:477 smb:9435 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:53.44 aq:50.96 tex:6772 mv:3395 misc:1841 imb:25 pmb:435 smb:9515 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:54.54 aq:48.25 tex:17646 mv:6240 misc:2962 imb:291 pmb:604 smb:9080 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:54.99 aq:50.84 tex:7767 mv:4187 misc:2294 imb:22 pmb:539 smb:9414 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:55.22 aq:51.00 tex:5926 mv:3210 misc:1944 imb:22 pmb:421 smb:9532 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:54.77 aq:50.99 tex:6506 mv:2824 misc:1854 imb:16 pmb:396 smb:9563 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:53.61 aq:46.93 tex:18621 mv:6659 misc:3264 imb:379 pmb:548 smb:9048 d:- ref:0 ;
